"Name","Country","Weight","Height","Age","Team","Fight_Result","Fight_Method"
"Petniyom FA Group","
Thailand ","121.7 LBS / 55.2 KG","5'4"" FT / 165 CM","28 Y","FA Group","LOSS","Knockout 
R1 (1:52)"
"Petnongnoey Nokkhao KorMor11","
Thailand ",NA,"5'5"" FT / 167 CM","21 Y","Por Homklin","LOSS","Knockout 
R1 (2:17)"
"Petnumkhum Phundakratanaburi","
Thailand ",NA,"5'4"" FT / 164 CM","28 Y","Phundakrataburi","LOSS","TKO 
R1 (2:04)"
"Petnumkhum Phundakratanaburi","
Thailand ",NA,"5'4"" FT / 164 CM","28 Y","Phundakrataburi","LOSS","Unanimous Decision 
R3 (3:00)"
"Petnumkhum Phundakratanaburi","
Thailand ",NA,"5'4"" FT / 164 CM","28 Y","Phundakrataburi","WIN","Knockout 
R1 (0:46)"
"Petpairin Sor Jor Tongprachin","
Thailand ",NA,"5'4"" FT / 165 CM","27 Y","Singpatong","WIN","Unanimous Decision 
R3 (3:00)"
"Petpairin Sor Jor Tongprachin","
Thailand ",NA,"5'4"" FT / 165 CM","27 Y","Singpatong","WIN","Unanimous Decision 
R3 (3:00)"
"Petpalangchai Por Jaroenpat","
Thailand ","131.18 LBS / 59.5 KG","5'9"" FT / 177 CM","25 Y","Lukmakhamwan","WIN","Unanimous Decision 
R3 (3:00)"
"Petpalangchai Por Jaroenpat","
Thailand ","131.18 LBS / 59.5 KG","5'9"" FT / 177 CM","25 Y","Lukmakhamwan","LOSS","Knockout 
R1 (1:49)"
"Petparuehat Sitnayoktaweeptaphong","
Thailand ","120.15 LBS / 54.5 KG","5'4"" FT / 165 CM","23 Y","Sak Buriram","LOSS","Unanimous Decision 
R3 (3:00)"
"Petparuehat Sitnayoktaweeptaphong","
Thailand ","120.15 LBS / 54.5 KG","5'4"" FT / 165 CM","23 Y","Sak Buriram","LOSS","Unanimous Decision 
R3 (3:00)"
"Petpattaya Silkmuaythai","
Thailand ","120.59 LBS / 54.7 KG","5'4"" FT / 165 CM","32 Y","Silk Muaythai","LOSS","Unanimous Decision 
R3 (3:00)"
"Petpattaya Silkmuaythai","
Thailand ","120.59 LBS / 54.7 KG","5'4"" FT / 165 CM","32 Y","Silk Muaythai","WIN","Knockout 
R2 (1:48)"
"Petpattaya Silkmuaythai","
Thailand ","120.59 LBS / 54.7 KG","5'4"" FT / 165 CM","32 Y","Silk Muaythai","WIN","Knockout 
R2 (0:59)"
"Petphadan Jitmuangnon","
Thailand ",NA,"5'6"" FT / 170 CM","18 Y","Jitmuangnon Gym","LOSS","Knockout 
R3 (2:59)"
"Petphathai Bumrungsit","
Thailand ","122.14 LBS / 55.4 KG","5'6"" FT / 168 CM","18 Y","Lampang Sports School","WIN","Unanimous Decision 
R3 (3:00)"
"Petphupa Aekpujean","
Thailand ","127.87 LBS / 58 KG","5'8"" FT / 175 CM","18 Y","Superbon Training Camp","LOSS","Knockout 
R3 (2:31)"
"Petphupa Aekpujean","
Thailand ","127.87 LBS / 58 KG","5'8"" FT / 175 CM","18 Y","Superbon Training Camp","WIN","Unanimous Decision 
R3 (3:00)"
"Petphupa Aekpujean","
Thailand ","127.87 LBS / 58 KG","5'8"" FT / 175 CM","18 Y","Superbon Training Camp","LOSS","Split Decision 
R3 (3:00)"
"Petporwarit Sor Sommai","
Thailand ",NA,"5'9"" FT / 177 CM","20 Y","Sor Sommai","LOSS","Unanimous Decision 
R3 (3:00)"
"Petputhai Or Bor Jor Nakhonpanom","
Thailand ",NA,"5'8"" FT / 175 CM","22 Y","Or Bor Jor Nakhonpanom gym","LOSS","Knockout 
R2 (1:28)"
"Petrapha Sor Sopit","
Thailand ",NA,"5'4"" FT / 165 CM","28 Y","Sor Sopit","LOSS","Majority Decision 
R3 (3:00)"
"Petrapha Sor Sopit","
Thailand ",NA,"5'4"" FT / 165 CM","28 Y","Sor Sopit","WIN","Split Decision 
R3 (3:00)"
"Petrit Nokkhao KorMor11","
Thailand ","110.67 LBS / 50.2 KG","5'5"" FT / 166 CM","18 Y","Nokkhao Kor Mor 11","LOSS","Unanimous Decision 
R3 (3:00)"
"Petsaenchai M U Den KhonmaiBaowee","
Thailand ","134.04 LBS / 60.8 KG","5'8"" FT / 175 CM","23 Y","FA Group","LOSS","Knockout 
R3 (2:29)"
"Petsaenchai M U Den KhonmaiBaowee","
Thailand ","134.04 LBS / 60.8 KG","5'8"" FT / 175 CM","23 Y","FA Group","WIN","Split Decision 
R3 (3:00)"
"Petsaenchai M U Den KhonmaiBaowee","
Thailand ","134.04 LBS / 60.8 KG","5'8"" FT / 175 CM","23 Y","FA Group","WIN","Knockout 
R1 (2:31)"
"Petsaenchai M U Den KhonmaiBaowee","
Thailand ","134.04 LBS / 60.8 KG","5'8"" FT / 175 CM","23 Y","FA Group","WIN","Knockout 
R2 (1:38)"
"Petsaenkom Yaicheyseafood","
Thailand ",NA,"5'7"" FT / 172 CM","27 Y","Yaicheyseafood","WIN","Unanimous Decision 
R3 (3:00)"
"Petsaenkom Yaicheyseafood","
Thailand ",NA,"5'7"" FT / 172 CM","27 Y","Yaicheyseafood","WIN","Unanimous Decision 
R3 (0:30)"
"Petsangwan Sor Samarngarment","
Thailand ",NA,"5'6"" FT / 170 CM","21 Y","PK Saenchai Muaythaigym","LOSS","Unanimous Decision 
R3 (3:00)"
"Petsansab Sor Jaruwan","
Thailand ","123.46 LBS / 56 KG","5'4"" FT / 165 CM","22 Y","Sor Jaruwan","LOSS","Unanimous Decision 
R3 (3:00)"
"Petsansuk ChotBangsaen","
Thailand ",NA,"5'6"" FT / 168 CM","20 Y","Chonburi Art Muay Thai","LOSS","Knockout 
R1 (1:53)"
"Petsansuk ChotBangsaen","
Thailand ",NA,"5'6"" FT / 168 CM","20 Y","Chonburi Art Muay Thai","WIN","Unanimous Decision 
R3 (3:00)"
"Petseekiew Kor Kampanart","
Thailand ",NA,"5'8"" FT / 173 CM","22 Y","Kor Kampanart","LOSS","Knockout 
R1 (2:43)"
"Petsimok PK Saenchai","
Thailand ","131.4 LBS / 59.6 KG","5'6"" FT / 168 CM","28 Y","PK Saenchai Muaythaigym","LOSS","Knockout 
R1 (1:55)"
"Petsirichai Detpetchsrithong","
Thailand ","136.03 LBS / 61.7 KG","5'8"" FT / 173 CM","24 Y","Detpetchsrithong","LOSS","Split Decision 
R3 (3:00)"
"Petsirichai Detpetchsrithong","
Thailand ","136.03 LBS / 61.7 KG","5'8"" FT / 173 CM","24 Y","Detpetchsrithong","WIN","Split Decision 
R3 (3:00)"
"Petsommai Sor Sommai","
Thailand ",NA,"5'4"" FT / 165 CM","26 Y","Sor Sommai","LOSS","Split Decision 
R3 (3:00)"
"Petsukumvit Boi Bangna","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","An Sukhumvit","LOSS","Unanimous Decision 
R3 (3:00)"
"Petsukumvit Boi Bangna","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","An Sukhumvit","LOSS","Unanimous Decision 
R3 (3:00)"
"Petsukumvit Boi Bangna","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","An Sukhumvit","LOSS","Majority Decision 
R3 (3:00)"
"Petsukumvit Boi Bangna","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","An Sukhumvit","LOSS","Knockout 
R1 (2:30)"
"Petsukumvit Boi Bangna","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","An Sukhumvit","WIN","Unanimous Decision 
R3 (3:00)"
"Petsukumvit Boi Bangna","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","An Sukhumvit","WIN","Knockout 
R2 (2:36)"
"Petsukumvit Boi Bangna","
Thailand ",NA,"5'6"" FT / 170 CM","26 Y","An Sukhumvit","WIN","Unanimous Decision 
R3 (3:00)"
"Petsuwan Boomdeksean","
Thailand ","127.65 LBS / 57.9 KG","5'6"" FT / 168 CM","22 Y","Boomdeksean","LOSS","Knockout 
R1 (0:15)"
"Pettasuea Seeopal","
Thailand ","116.85 LBS / 53 KG","5'4"" FT / 164 CM","20 Y","Seeopal","LOSS","Knockout 
R1 (2:44)"
"Pettasuea Seeopal","
Thailand ","116.85 LBS / 53 KG","5'4"" FT / 164 CM","20 Y","Seeopal","WIN","Knockout 
R2 (2:28)"
"Pettasuea Seeopal","
Thailand ","116.85 LBS / 53 KG","5'4"" FT / 164 CM","20 Y","Seeopal","WIN","Knockout 
R1 (1:14)"
